lat,lng
-12.8000,-56.6900
-13.2200,-51.6900
-8.2500,-55.0100
-11.3660,-55.1360
-22.0240,-48.4750
-21.9620,-47.9390
-21.9600,-47.9290
-21.9530,-47.9410
-6.2700,-47.7100
-6.7900,-47.8500
-18.2100,-53.4400
-21.4300,-46.8500
-3.2300,-50.2600
-12.9000,-53.4900
-12.9000,-53.4700
-15.5700,-51.7600
-15.5700,-51.7400
-17.2600,-52.6700
-17.2600,-52.6500
-6.2700,-47.7100
-16.8600,-57.2400
-3.2500,-50.2800
-3.2300,-50.2600
-3.2300,-50.2800
-21.4500,-46.8500
-11.7949,-60.7528
-19.1282,-53.4824
-19.1287,-53.4787
-8.5229,-54.8815
-7.1543,-41.2084
-7.1508,-41.2078
-9.7335,-55.1742
-7.0664,-52.5589
-7.1501,-41.2118
-7.0568,-41.7497
-7.0561,-41.7539
-7.1466,-41.2112
-13.5187,-60.9989
-6.7656,-52.2626
-13.1901,-57.1436
-6.7687,-52.2675
-6.7698,-52.1091
-15.5700,-51.7400
-15.4100,-48.0300
-15.4100,-48.0100
-15.5700,-51.7600
-6.9000,-46.6500
-3.2500,-50.2600
-3.2500,-50.2800
-3.2300,-50.2600
-21.0200,-47.3100
-21.4500,-46.8500
-6.3100,-51.8900
-6.1300,-53.3200
-10.4400,-61.3000
-10.4400,-61.2800
-15.1600,-59.4800
-7.3600,-55.3500
-12.5200,-54.7700
-8.3600,-56.2700
-11.2100,-54.1000
-6.8600,-44.2800
-8.3600,-56.2500
-16.8000,-57.5200
-8.7400,-61.4200
-16.8600,-57.3100
-16.8800,-57.3000
-8.7400,-61.4400
-10.6400,-50.0300
-8.5500,-51.3200
-8.5700,-51.3600
-6.8600,-44.2800
-4.2800,-48.2400
-7.3400,-55.3500
-8.3600,-56.2700
-8.5500,-51.3600
-8.5500,-51.3400
-10.4200,-61.3000
-8.3700,-56.2700
-6.1500,-53.3200
-8.5900,-54.7900
-8.7400,-61.4200
-11.2300,-54.0900
-13.9000,-54.4200
-8.7400,-61.4400
-3.9600,-51.9800
-14.3500,-47.6400
-16.5600,-49.1300
-4.9200,-48.5100
-6.8600,-44.3100
-15.7400,-59.6800
-4.2800,-48.2400
-11.7500,-51.9000
-15.7200,-59.6900
-6.8600,-44.3100
-6.8600,-44.2800
-8.7400,-61.4400
-16.5800,-49.1000
-8.8300,-51.1100
-15.7200,-59.7100
-10.6500,-50.0200
-6.1800,-43.0200
-6.8912,-41.9349
-6.8903,-41.9415
-6.8885,-41.9335
-6.8880,-41.9371
-4.6076,-43.6068
-4.6047,-43.6048
-4.3484,-43.3062
-8.6008,-51.1898
-12.5726,-54.5771
-17.1368,-55.0751
-19.3522,-53.1888
-3.3775,-50.2052
-19.8903,-57.5707
-16.4735,-54.1228
-9.2400,-59.7852
-9.2392,-59.7901
-8.2155,-54.8760
-7.1676,-49.2951
-4.6133,-43.6109
-6.3792,-43.8728
-9.7662,-47.0899
-15.5412,-48.0012
-2.7551,-46.7084
-8.0667,-51.7876
-16.0611,-57.5410
-9.2635,-45.5064
-21.9208,-48.1915
-5.4628,-46.2570
-18.7140,-57.5759
-17.6375,-56.2846
-17.3890,-55.9947
-4.3774,-55.4429
-18.1917,-53.3358
-11.1195,-50.8796
-6.5301,-54.9209
-10.0143,-64.2780
-17.1153,-53.0822
-16.5068,-56.1280
-14.6351,-55.1852
-17.3110,-52.6894
-17.3071,-52.6925
-14.6330,-55.1768
-17.2700,-52.6786
-17.2672,-52.6744
-17.3132,-52.6972
-9.8509,-50.6024
-9.8504,-50.6060
-9.8515,-50.5988
-9.8511,-50.6907
-14.6234,-55.1913
-9.1820,-56.8912
-10.4336,-50.7113
-10.4331,-50.7149
-8.3600,-56.2700
-10.8100,-51.0500
-8.3600,-56.2500
-8.3700,-56.2700
-8.3400,-56.2700
-8.3600,-56.2900
-11.7500,-51.9000
-12.9000,-53.4800
-7.3400,-55.3500
-11.2100,-54.1000
-7.3400,-55.3300
-7.3600,-55.3500
-11.2300,-54.0900
-14.1400,-52.7600
-7.8500,-48.2900
-8.3700,-48.8900
-12.0000,-49.2200
-16.4800,-55.3100
-8.5500,-51.3400
-6.6700,-53.5700
-12.5100,-54.7300
-6.6800,-52.1200
-6.6900,-53.5700
-12.5100,-54.7100
-15.3000,-56.6900
-6.7100,-52.5900
-6.7200,-52.0100
-14.6200,-55.1800
-6.7400,-52.0100
-16.3200,-55.8300
-6.7547,-52.2601
-7.5231,-51.8336
-7.4856,-51.9454
-7.4384,-51.8210
-7.4406,-51.8308
-7.4427,-51.8406
-11.3345,-55.3330
-11.3210,-55.3158
-3.4200,-54.2700
-3.4000,-54.2700
-21.4300,-46.8500
-20.0800,-46.1000
-19.3600,-46.2400
-18.2100,-53.4400
-15.4100,-48.0100
-6.9721,-52.6528
-6.9624,-52.6549
-6.7287,-52.6147
-6.7310,-52.6254
-6.7333,-52.6361
-4.9341,-48.5629
-4.9356,-48.5698
-4.9243,-48.5651
-4.9258,-48.5719
-4.9274,-48.5788
-4.9207,-48.5948
-4.9284,-48.6295
-9.3700,-56.9400
-9.5800,-56.8200
-9.6000,-56.8200
-7.2109,-46.0938
-8.7048,-47.6031
-9.9156,-55.5052
-6.4842,-53.2327
-14.2364,-47.1752
-9.8325,-51.5482
-9.8382,-51.5842
-9.8204,-51.5361
-6.0973,-53.4115
-6.0841,-53.3920
-6.0853,-53.3992
-6.0864,-53.4065
-6.0732,-53.3869
-11.8835,-56.8021
-11.8586,-56.6963
-11.8721,-56.7921
-11.8438,-56.9489
-13.2288,-56.8087
-13.2306,-56.8214
-8.6926,-51.2635
-21.9972,-47.9467
-18.2020,-53.4680
-22.2970,-47.4690
-20.4960,-46.9470
-3.9700,-54.2200
-21.4300,-46.8500
-8.1450,-49.4430
-23.7227,-51.9977
-17.4369,-48.2383
-15.5858,-55.4976
-4.9189,-48.5261
-4.9183,-48.5301
-16.7385,-53.0819
-4.9225,-48.5307
-4.9232,-48.5267
-16.7456,-53.0464
-8.5144,-54.8816
-9.9301,-55.4828
-23.3572,-51.1235
-23.3563,-51.1282
-16.0628,-53.9934
-23.7449,-50.8385
-23.7227,-51.9959
-17.9776,-57.4301
-11.4570,-47.1694
-6.2034,-52.1275
-18.2768,-57.5247
-11.8222,-55.0864
-17.0380,-57.3810
-18.2712,-57.5283
-18.2513,-57.5198
-10.0800,-65.3000
-1.7020,-52.0990
-6.1540,-52.8280
-8.8600,-47.0500
-8.7400,-61.4200
-8.7800,-61.4400
-8.7800,-61.4200
-8.8700,-51.1100
-19.1320,-45.4400
-8.8781,-44.1533
-10.9892,-50.8689
-8.8803,-44.1609
-8.8875,-44.1800
-10.9878,-50.9018
-4.2569,-55.1214
-8.6504,-44.9826
-8.8671,-44.1372
-11.0605,-51.5844
-6.3721,-43.8032
-3.8161,-50.6367
-7.0983,-42.2264
-6.1865,-42.1320
-19.0370,-45.9788
-11.3972,-42.0191
-5.7083,-41.1722
-5.9677,-43.5247
-5.4516,-49.0428
-8.3440,-56.2950
-8.3560,-55.0680
-8.3320,-56.3030
-8.2720,-54.9450
-8.2610,-55.0200
-8.2600,-55.0290
-6.8359,-48.4131
-6.8318,-48.4076
-16.9473,-55.9451
-5.5683,-49.4415
-11.3258,-55.2413
-5.8727,-49.5210
-14.7822,-56.7685
-3.6857,-51.3860
-4.1390,-48.3908
-4.1397,-48.3869
-16.8225,-54.2890
-4.1693,-48.2095
-4.1722,-48.2182
-16.8230,-54.2863
-17.5980,-57.0490
-17.6090,-57.0410
-17.6070,-57.0510
-17.5330,-57.0480
-10.2400,-50.2400
-8.3289,-48.8664
-8.3282,-48.8714
-7.2511,-55.1411
-10.7669,-51.0820
-11.8870,-56.7022
-8.2614,-55.3704
-9.7518,-51.5469
-9.7507,-51.6121
-11.8281,-56.2744
-9.7212,-51.6186
-9.1690,-56.8851
-9.3304,-59.1450
-6.9829,-51.1817
-9.7573,-51.5374
-11.8314,-56.2750
-9.7533,-51.5366
-9.7523,-51.5435
-10.6639,-56.4162
-7.7829,-54.7902
-21.2793,-45.0543
-18.2693,-55.9428
-6.3317,-48.0583
-6.3272,-48.1691
-7.3374,-55.3707
-6.3267,-48.1646
-6.3260,-48.1699
-7.3346,-55.3667
-2.7445,-54.6386
-5.1440,-55.9791
-9.8125,-47.0905
-9.8089,-47.1184
-3.4200,-54.2778
-4.3757,-56.3041
-12.1413,-43.3932
-6.3970,-43.6989
-12.1420,-43.3868
-4.4675,-54.9719
-11.9113,-43.1310
-16.9745,-51.5770
-14.6180,-50.9437
-12.6843,-60.1729
-19.2673,-44.2947
-9.5073,-43.5701
-14.8827,-45.7432
-9.5509,-47.1503
-15.0620,-56.7613
-11.4203,-55.4316
-11.8050,-57.9424
-15.8091,-57.1041
-16.0955,-53.9287
-15.9403,-54.4572
-15.8308,-57.1189
-15.6709,-59.7782
-8.2125,-51.9605
-13.0074,-56.8492
-11.6802,-59.2179
-8.5105,-54.8944
-14.0800,-52.7000
-8.9970,-60.5812
-17.1817,-56.7634
-13.1957,-56.8152
-7.4500,-50.8400
-8.5000,-54.8800
-9.7900,-50.0300
-7.9600,-54.7100
-10.0100,-64.2700
-10.4500,-56.3000
-9.5400,-68.4600
-10.4400,-61.2600
-9.8770,-60.3160
-9.2900,-56.4500
-8.7200,-54.6800
-9.0400,-68.4600
-6.5642,-43.5982
-8.3434,-46.0202
-17.6600,-53.0300
-11.9900,-56.6200
-7.7896,-45.6115
-3.6200,-50.2000
-6.9781,-49.4407
-21.9161,-48.6820
-7.4306,-46.6211
-14.9213,-48.0791
-6.9812,-49.4346
-6.9762,-49.4614
-22.1379,-48.3611
-6.9803,-49.4391
-14.9128,-48.0716
-6.9779,-49.4524
-22.1422,-48.3619
-7.4270,-45.8807
-21.9065,-48.6843
-14.8770,-48.1275
-7.4256,-46.6201
-7.3978,-46.6620
-21.9047,-48.6935
-7.5253,-46.0216
-7.4027,-46.6628
-6.9822,-49.4627
-14.9251,-48.0854
-13.2400,-56.7700
-13.3500,-54.3100
-13.3500,-54.2900
-12.9800,-53.5500
-12.9200,-53.4700
-12.9300,-53.0100
-13.3700,-54.3100
-12.9300,-52.9700
-12.9300,-52.8800
-14.8996,-48.1181
-7.4214,-45.8849
-7.2292,-46.7692
-21.9003,-48.6923
-7.4223,-45.8798
-14.8783,-48.1254
-7.2297,-46.7662
-7.5301,-46.0225
-21.9056,-48.6889
-7.4244,-47.0909
-7.3094,-47.0118
-5.6700,-47.8400
-6.3200,-52.6100
-6.3200,-52.5900
-15.0800,-60.0400
-13.5100,-52.3100
-17.3690,-56.3000
-17.9510,-56.1400
-2.4650,-58.0210
-12.9310,-52.9390
-12.9250,-53.0210
-2.4510,-57.9210
-2.4510,-57.7270
-12.9240,-52.9500
-12.9230,-53.0110
-18.0060,-53.7890
-6.8880,-55.1670
-11.1735,-51.6686
-11.1738,-51.6393
-11.1742,-51.6726
-11.1746,-51.6434
-3.2700,-54.1600
-9.8081,-51.7184
-9.8103,-51.7188
-9.8112,-51.7232
-15.6420,-55.4997
-15.3300,-59.5900
-19.3020,-46.9340
-15.3230,-59.5950
-19.0640,-46.9960
-8.2800,-55.3070
-19.0630,-47.0040
-8.2780,-54.7870
-23.1460,-47.0640
-15.6980,-59.7780
-23.0700,-46.6360
-8.1200,-55.2600
-11.0779,-50.9539
-10.7127,-51.4123
-8.8998,-51.1255
-8.6806,-48.9159
-8.5018,-48.8945
-8.5012,-48.8896
-8.5006,-48.8845
-7.9419,-49.3744
-7.9414,-49.4226
-7.9412,-49.3691
-7.9410,-49.3730
-7.9366,-49.3877
-7.9329,-49.4067
-7.9322,-49.4014
-7.9316,-49.3963
-7.9310,-49.3959
-23.7854,-51.9804
-8.2702,-48.2468
-18.6500,-57.4000
-13.2000,-51.3500
-13.9070,-48.9544
-20.7238,-45.3845
-6.4848,-47.8583
-15.4342,-48.0398
-19.5287,-43.5306
-20.8990,-47.0321
-20.8978,-47.0271
-20.3930,-47.4587
-20.3877,-47.4576
-20.3864,-47.4589
-20.2521,-47.8243
-20.2510,-47.8194
-3.7715,-43.1647
-3.7675,-43.1653
-3.7668,-43.1602
-3.9944,-44.2867
-3.9932,-44.2785
-6.4633,-45.0949
-7.6309,-44.9870
-23.3606,-47.3690
-23.3584,-47.3704
-23.8791,-47.5105
-22.7500,-47.9805
-22.7492,-47.9786
-22.7490,-47.9762
-22.7481,-47.9741
-22.7435,-47.9803
-23.3643,-47.3689
-23.3632,-47.3644
-23.3615,-47.3795
-23.3610,-47.3729
-6.0888,-43.3960
-5.8586,-43.4365
-19.3545,-43.5572
-19.3598,-43.5662
-9.2611,-40.6702
-19.3636,-43.5508
-21.0563,-41.3950
-17.2933,-52.6947
-11.0145,-51.2530
-16.4832,-55.2869
-16.3266,-55.8547
-16.3255,-55.8714
-13.7371,-51.9973
-13.7441,-51.5174
-12.4217,-54.5598
-12.4208,-54.5548
-12.4170,-54.5607
-14.0918,-58.7760
-12.6247,-53.2482
-12.6208,-53.2274
-17.6438,-53.0602
-12.6202,-53.2522
-12.6202,-53.2244
-18.7870,-53.3005
-19.3190,-43.5174
-20.4074,-43.4674
-14.9118,-48.0796
-14.8696,-48.1186
-22.1670,-48.4065
-17.4667,-53.4918
-22.1404,-48.3711
-7.2820,-42.6910
-8.9890,-47.1470
-8.8850,-46.7510
-7.0560,-42.6330
-22.7110,-43.2350
-5.7610,-40.7910
-12.5270,-51.3780
-6.3237,-52.6409
-6.4991,-52.8933
-6.4986,-52.8959
-6.3531,-52.4780
-11.8095,-60.6694
-18.6003,-57.4089
-13.9224,-56.7610
-17.3993,-57.3656
-17.3986,-57.3612
-10.4560,-61.3049
-17.4066,-57.3866
-13.2057,-52.6193
-17.4037,-57.3916
-10.4532,-61.3090
-17.4030,-57.3873
-10.6520,-56.4195
-14.7630,-59.5229
-6.9174,-55.4118
-17.3656,-56.2968
-14.0800,-52.7300
-7.1593,-49.2951
-7.1568,-49.2845
-7.1542,-49.2738
-7.1517,-49.2633
-7.1491,-49.2526
-7.3270,-49.9580
-15.9501,-56.0346
-15.9491,-56.0293
-7.3247,-49.9485
-4.9400,-49.2800
-16.9800,-55.9100
-17.6300,-57.0500
-7.1740,-49.3139
-12.3400,-50.6500
-12.1000,-53.4700
-12.1700,-54.2100
-12.0300,-56.6800
-12.0900,-53.4700
-12.0500,-56.6800
-12.0300,-57.6400
-7.1715,-49.3033
-7.1690,-49.2928
-7.1665,-49.2822
-7.1639,-49.2715
-7.1614,-49.2610
-8.5048,-54.8974
-8.5033,-54.8904
-8.5017,-54.8834
-7.5969,-50.9295
-8.5162,-54.9021
-8.5146,-54.8951
-8.5131,-54.8881
-9.7913,-56.5853
-9.7930,-56.5933
-9.7948,-56.6013
-8.1599,-49.4691
-8.1623,-49.4790
-8.5712,-51.2131
-8.5848,-51.2268
-8.5867,-51.2349
-8.5904,-51.2509
-8.6034,-51.3067
-8.5965,-51.2326
-8.5946,-51.2246
-8.2879,-49.9202
-8.2856,-49.9107
-8.1794,-49.4644
-8.1770,-49.4543
-17.5800,-57.4000
-8.6267,-51.3180
-8.6249,-51.3100
-3.5600,-54.2100
-4.1200,-44.0900
-7.3500,-45.9900
-8.6063,-51.2303
-8.6044,-51.2223
-16.7200,-57.3800
-10.6700,-45.2200
-16.7000,-57.3900
-8.5913,-51.1660
-8.1892,-49.4621
-10.4349,-59.0849
-10.2102,-58.2080
-10.2123,-58.2178
-8.6051,-51.1371
-8.6070,-51.1453
-8.5972,-51.1475
-8.5991,-51.1557
-8.6346,-51.3077
-10.4325,-59.0736
-10.1939,-57.9376
-10.1919,-57.9282
-9.5794,-55.1018
-9.5778,-55.0947
-9.5892,-55.0997
-9.5876,-55.0924
-6.3600,-35.2100
-10.4955,-59.1313
-9.7082,-55.4059
-9.6800,-55.1847
-8.9603,-52.0000
-8.9586,-51.9925
-8.9483,-51.9478
-8.9718,-52.0051
-5.1900,-47.8200
-5.1900,-47.8700
-8.9701,-51.9977
-8.9684,-51.9902
-8.9667,-51.9828
-9.6949,-55.1587
-9.6933,-55.1516
-8.9782,-51.9879
-8.9075,-51.1217
-8.9020,-51.1079
-8.9026,-51.1115
-8.9031,-51.1151
-8.9765,-51.9805
-7.5256,-50.9737
-7.5261,-50.9771
-7.6881,-50.8807
-7.6821,-50.8636
-7.6827,-50.8671
-7.6848,-50.8812
-7.5230,-50.8880
-9.0800,-49.2600
-8.9748,-51.9730
-8.8674,-51.5097
-8.8656,-51.5019
-8.7154,-50.6388
-8.7174,-50.6473
-9.7075,-54.9835
-8.8956,-51.4538
-9.7714,-55.1794
-9.7699,-55.1721
-9.7619,-55.1362
-8.8493,-51.1222
-8.8474,-51.1142
-8.8456,-51.1060
-8.3183,-48.8804
-8.3157,-48.8695
-10.3501,-57.8054
-10.3481,-57.7960
-10.3243,-57.6841
-9.7812,-55.1772
-9.7797,-55.1699
-9.7749,-55.1484
-9.7733,-55.1413
-8.8572,-51.1119
-8.8553,-51.1038
-8.3333,-48.8996
-8.3307,-48.8888
-21.3920,-48.7414
-21.3915,-48.7374
-22.1979,-48.7890
-22.1945,-48.7895
-21.6818,-49.7234
-21.6823,-49.7277
-5.7378,-46.8542
-8.3281,-48.8779
-2.5691,-47.0756
-2.5979,-47.2821
-8.3255,-48.8671
-10.9088,-68.2683
-9.7879,-55.1605
-9.7863,-55.1534
-14.3753,-46.7796
-9.7847,-55.1463
-8.3507,-48.9296
-8.3482,-48.9188
-10.4039,-57.9628
-8.8768,-51.1073
-8.8749,-51.0992
-8.3580,-48.9164
-10.4117,-57.9511
-8.8866,-51.1050
-8.8847,-51.0969
-8.3702,-48.9249
-14.9900,-48.6600
-8.3677,-48.9141
-8.3651,-48.9034
-8.3625,-48.8926
-10.2998,-57.3762
-8.9002,-51.1188
-10.3208,-57.6859
-14.2040,-59.4923
-11.9912,-53.2917
-11.9919,-53.2964
-8.5639,-54.8955
-11.9861,-53.2829
-11.9868,-53.2876
-8.8983,-51.1108
-8.8964,-51.1026
-4.2900,-55.4200
-8.8945,-51.0946
-8.8926,-51.0866
-8.3748,-48.9010
-8.3723,-48.8902
-8.3697,-48.8793
-8.3671,-48.8685
-10.3077,-57.3652
-10.3058,-57.3563
-8.9061,-51.1003
-8.9783,-51.4098
-8.9801,-51.4175
-8.9819,-51.4254
-8.9837,-51.4332
-10.3039,-57.3475
-8.3820,-48.8877
-8.3846,-48.8986
-8.3794,-48.8769
-5.1100,-47.9400
-8.9917,-51.4231
-8.9899,-51.4152
-8.2925,-48.4734
-8.2898,-48.4618
-8.9887,-51.3661
-8.9869,-51.3582
-8.9851,-51.3503
-8.7123,-50.1875
-8.7102,-50.1785
-8.2996,-48.4594
-9.6686,-54.2995
-9.6670,-54.2925
-9.6655,-54.2855
-8.5335,-47.6810
-8.5304,-47.6682
-10.0642,-54.1809
-10.0627,-54.1740
-10.0678,-54.1509
-10.0662,-54.1440
-10.0647,-54.1370
-9.4672,-51.4261
-9.4654,-51.4183
-9.4715,-51.4005
-9.4697,-51.3927
-8.6703,-48.0308
-9.3956,-67.5395
-8.8560,-67.0069
-8.7785,-67.2327
-10.1168,-54.1398
-10.6588,-56.4212
-10.6570,-56.4133
-10.6686,-56.4192
-10.6668,-56.4112
-10.6651,-56.4030
-10.1756,-54.1264
-9.3078,-50.1301
-9.2916,-50.1057
-9.2937,-50.1147
-9.2958,-50.1236
-9.2980,-50.1325
-10.6744,-56.2085
-10.1921,-54.1082
-10.1937,-54.1151
-10.1952,-54.1221
-10.6565,-56.2206
-10.1839,-54.1172
-10.6864,-56.4068
-10.4174,-49.7584
-5.7431,-53.4842
-9.6597,-47.6031
-6.7819,-52.3941
-9.8558,-51.9005
-9.9149,-52.1572
-9.5112,-56.9020
-9.7459,-51.5144
-11.0689,-49.7613
-9.6587,-54.9944
-10.2298,-49.7943
-6.0744,-55.6301
-10.2277,-49.7853
-10.6300,-59.2600
-17.6939,-53.0696
-14.2463,-44.9236
-6.0357,-44.3045
-8.2676,-55.0114
-8.1370,-42.6274
-1.9390,-56.3276
-2.9222,-47.8834
-10.6247,-51.6419
-16.7238,-55.4718
-7.3574,-55.3541
-1.9384,-56.3244
-3.7899,-41.7274
-17.4739,-57.2442
